pdb,stacking,base_triple_type
ens-220,stacked,non-triple
ens-221,unstacked,non-triple
ens-222,unstacked,non-triple
ens-223,stacked,non-triple
ens-224,stacked,non-triple
ens-225,stacked,triple
ens-226,unstacked,non-triple
ens-227,unstacked,non-triple
ens-228,stacked,non-triple
ens-229,unstacked,non-triple
ens-230,unstacked,non-triple
ens-231,unstacked,non-triple
ens-232,unstacked,non-triple
ens-233,unstacked,non-triple
ens-234,unstacked,non-triple
ens-235,unstacked,non-triple
ens-236,stacked,non-triple
ens-237,stacked,non-triple
ens-238,stacked,non-triple
ens-239,unstacked,non-triple
ens-240,stacked,non-triple
ens-241,unstacked,non-triple
ens-242,stacked,non-triple
ens-243,stacked,non-triple
ens-244,unstacked,non-triple
ens-245,unstacked,non-triple
ens-246,stacked,non-triple
ens-247,unstacked,non-triple
ens-248,stacked,non-triple
ens-249,unstacked,non-triple
ens-250,unstacked,non-triple
ens-251,unstacked,non-triple
ens-252,stacked,non-triple
ens-253,unstacked,non-triple
ens-254,stacked,non-triple
ens-255,unstacked,non-triple
ens-256,stacked,non-triple
ens-257,stacked,non-triple
ens-258,stacked,non-triple
ens-259,unstacked,non-triple
ens-260,unstacked,non-triple
ens-261,unstacked,non-triple
ens-262,unstacked,non-triple
ens-263,stacked,non-triple
ens-264,stacked,non-triple
ens-265,unstacked,non-triple
ens-266,unstacked,non-triple
ens-267,stacked,non-triple
ens-268,stacked,non-triple
ens-269,unstacked,non-triple
ens-270,stacked,non-triple
ens-271,unstacked,non-triple
ens-272,unstacked,non-triple
ens-273,unstacked,non-triple
ens-274,unstacked,non-triple
ens-275,stacked,non-triple
ens-276,stacked,non-triple
ens-277,stacked,non-triple
ens-278,stacked,non-triple
ens-279,stacked,non-triple
ens-280,unstacked,non-triple
ens-281,stacked,non-triple
ens-282,unstacked,non-triple
ens-283,unstacked,non-triple
ens-284,unstacked,non-triple
ens-285,stacked,non-triple
ens-286,unstacked,non-triple
ens-287,stacked,non-triple
ens-288,stacked,non-triple
ens-289,unstacked,non-triple
ens-290,unstacked,non-triple
ens-291,stacked,non-triple
ens-292,unstacked,non-triple
ens-293,unstacked,non-triple
ens-294,unstacked,non-triple
ens-295,stacked,non-triple
ens-296,unstacked,non-triple
ens-297,stacked,non-triple
ens-298,unstacked,non-triple
ens-299,stacked,non-triple
ens-300,stacked,non-triple
ens-301,unstacked,non-triple
ens-302,unstacked,non-triple
ens-303,stacked,non-triple
ens-304,unstacked,non-triple
ens-305,unstacked,non-triple
ens-306,stacked,non-triple
ens-307,stacked,non-triple
ens-308,stacked,non-triple
ens-309,unstacked,non-triple
ens-310,unstacked,non-triple
ens-311,unstacked,non-triple
ens-312,unstacked,non-triple
ens-313,stacked,non-triple
ens-314,unstacked,non-triple
ens-315,stacked,non-triple
ens-316,unstacked,non-triple
ens-317,stacked,non-triple
ens-318,stacked,non-triple
ens-319,unstacked,non-triple
ens-320,unstacked,non-triple
ens-321,stacked,non-triple
