pdb,stacking,base_triple_type
ens-228,stacked,non-triple
ens-229,stacked,non-triple
ens-230,stacked,non-triple
ens-231,stacked,non-triple
ens-232,stacked,non-triple
ens-233,stacked,non-triple
ens-234,stacked,non-triple
ens-235,stacked,non-triple
ens-236,stacked,non-triple
ens-237,stacked,non-triple
ens-238,stacked,non-triple
ens-239,stacked,non-triple
ens-240,stacked,non-triple
ens-241,stacked,non-triple
ens-242,stacked,non-triple
ens-243,stacked,non-triple
ens-244,stacked,non-triple
ens-245,stacked,non-triple
ens-246,stacked,non-triple
ens-247,stacked,non-triple
ens-248,stacked,non-triple
ens-249,stacked,non-triple
ens-250,stacked,non-triple
ens-251,stacked,non-triple
ens-252,stacked,non-triple
ens-253,stacked,non-triple
ens-254,stacked,non-triple
ens-255,stacked,non-triple
ens-256,stacked,non-triple
ens-257,stacked,non-triple
ens-258,stacked,non-triple
ens-259,stacked,non-triple
ens-260,stacked,non-triple
ens-261,stacked,non-triple
ens-262,stacked,non-triple
ens-263,stacked,non-triple
ens-264,stacked,non-triple
ens-265,stacked,non-triple
ens-266,stacked,non-triple
ens-267,stacked,non-triple
ens-268,stacked,non-triple
ens-269,stacked,non-triple
ens-270,stacked,non-triple
ens-271,stacked,non-triple
ens-272,stacked,non-triple
ens-273,stacked,non-triple
ens-274,stacked,non-triple
ens-275,stacked,non-triple
ens-276,stacked,non-triple
ens-277,stacked,non-triple
ens-278,stacked,non-triple
ens-279,stacked,non-triple
ens-280,stacked,non-triple
ens-281,stacked,non-triple
ens-282,stacked,non-triple
ens-283,stacked,non-triple
ens-284,stacked,non-triple
ens-285,stacked,non-triple
ens-286,stacked,non-triple
ens-287,stacked,non-triple
ens-288,stacked,non-triple
ens-289,stacked,non-triple
ens-290,stacked,non-triple
ens-291,stacked,non-triple
ens-292,stacked,non-triple
ens-293,stacked,non-triple
ens-294,stacked,non-triple
ens-295,stacked,non-triple
ens-296,stacked,non-triple
ens-297,stacked,non-triple
ens-298,stacked,non-triple
ens-299,stacked,non-triple
ens-300,stacked,non-triple
ens-301,stacked,non-triple
ens-302,stacked,non-triple
ens-303,stacked,non-triple
ens-304,stacked,non-triple
ens-305,stacked,non-triple
ens-306,stacked,non-triple
ens-307,stacked,non-triple
ens-308,stacked,non-triple
ens-309,stacked,non-triple
ens-310,stacked,non-triple
ens-311,stacked,non-triple
ens-312,stacked,non-triple
ens-313,stacked,non-triple
ens-314,stacked,non-triple
ens-315,stacked,non-triple
ens-316,stacked,non-triple
ens-317,stacked,non-triple
ens-318,stacked,non-triple
ens-319,stacked,non-triple
ens-320,stacked,non-triple
ens-321,stacked,non-triple
ens-322,stacked,non-triple
ens-323,stacked,non-triple
ens-324,stacked,non-triple
ens-325,stacked,non-triple
ens-326,stacked,non-triple
ens-327,stacked,non-triple
ens-328,stacked,non-triple
ens-329,stacked,non-triple
ens-330,stacked,non-triple
ens-331,stacked,non-triple
ens-332,stacked,non-triple
ens-333,stacked,non-triple
ens-334,stacked,non-triple
ens-335,stacked,non-triple
ens-336,stacked,non-triple
ens-337,stacked,non-triple
ens-338,stacked,non-triple
ens-339,stacked,non-triple
ens-340,stacked,non-triple
ens-341,stacked,non-triple
ens-342,stacked,non-triple
ens-343,stacked,non-triple
ens-344,stacked,non-triple
ens-345,stacked,non-triple
ens-346,stacked,non-triple
ens-347,stacked,non-triple
ens-348,stacked,non-triple
ens-349,stacked,non-triple
ens-350,stacked,non-triple
ens-351,stacked,non-triple
ens-352,stacked,non-triple
ens-353,stacked,non-triple
ens-354,stacked,non-triple
ens-355,stacked,non-triple
ens-356,stacked,non-triple
ens-357,stacked,non-triple
ens-358,stacked,non-triple
ens-359,stacked,non-triple
ens-360,stacked,non-triple
ens-361,stacked,non-triple
ens-362,stacked,non-triple
ens-363,stacked,non-triple
ens-364,stacked,non-triple
ens-365,stacked,non-triple
ens-366,stacked,non-triple
ens-367,stacked,non-triple
ens-368,stacked,non-triple
ens-369,stacked,non-triple
ens-370,stacked,non-triple
ens-371,stacked,non-triple
ens-372,stacked,non-triple
ens-373,stacked,non-triple
ens-374,stacked,non-triple
ens-375,stacked,non-triple
ens-376,stacked,non-triple
ens-377,stacked,non-triple
ens-378,stacked,non-triple
ens-379,stacked,non-triple
ens-380,stacked,non-triple
ens-381,stacked,non-triple
ens-382,stacked,non-triple
ens-383,stacked,non-triple
ens-384,stacked,non-triple
ens-385,stacked,non-triple
ens-386,stacked,non-triple
ens-387,stacked,non-triple
ens-388,stacked,non-triple
ens-389,stacked,non-triple
ens-390,stacked,non-triple
ens-391,stacked,non-triple
ens-392,stacked,non-triple
